epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.40795,4.91006,4.39922,4.2811,0,0,0,0,5.63699,4.32593,4.15931,0,0,0
2,2.83507,3.97323,4.33794,4.29564,0,0,0,0,5.63682,4.32555,4.15969,1.22525e-05,1.22525e-05,1.22525e-05
3,4.25077,5.65877,4.52689,4.40204,0,0,0,0,5.63659,4.32516,4.16008,2.401e-05,2.401e-05,2.401e-05
4,5.63183,4.67133,4.33469,4.314,0,0,0,0,5.63639,4.32502,4.16046,3.52725e-05,3.52725e-05,3.52725e-05
5,6.97193,5.59505,4.4798,4.40713,0,0,0,0,5.63619,4.32503,4.16085,4.604e-05,4.604e-05,4.604e-05
6,8.36456,5.69978,4.35856,4.35566,0,0,0,0,5.63598,4.32521,4.16136,5.63125e-05,5.63125e-05,5.63125e-05
7,9.76008,3.67661,4.27205,4.46449,0,0,0,0,5.63582,4.32558,4.16179,6.609e-05,6.609e-05,6.609e-05
8,11.2913,5.73773,4.19875,4.45237,0,0,0,0,5.63567,4.32655,4.16233,7.53725e-05,7.53725e-05,7.53725e-05
9,12.7777,5.64313,4.20295,4.37367,0,0,0,0,5.63557,4.32781,4.16285,8.416e-05,8.416e-05,8.416e-05
10,14.249,5.39735,3.71863,4.4346,0,0,0,0,5.63707,4.32396,4.16333,9.24525e-05,9.24525e-05,9.24525e-05
11,15.7314,5.75216,3.87073,4.45907,0,0,0,0,5.63704,4.3266,4.16403,0.00010025,0.00010025,0.00010025
12,17.118,5.42161,4.20379,4.21676,0,0,0,0,5.63707,4.32924,4.16483,0.000107553,0.000107553,0.000107553
13,18.4608,5.5657,3.81873,4.42269,0,0,0,0,5.63719,4.3324,4.16567,0.00011436,0.00011436,0.00011436
14,19.8308,4.02341,3.77439,4.31883,0,0,0,0,5.63736,4.33568,4.16657,0.000120672,0.000120672,0.000120672
15,21.2295,4.21391,3.81269,4.23279,0,0,0,0,5.63761,4.33972,4.16772,0.00012649,0.00012649,0.00012649
16,22.576,5.03993,3.76505,4.41023,0,0,0,0,5.63793,4.34345,4.16889,0.000131813,0.000131813,0.000131813
17,23.956,4.54835,3.42187,4.2548,0,0,0,0,5.63833,4.34747,4.17019,0.00013664,0.00013664,0.00013664
18,25.2595,5.21294,3.48433,4.30245,0,0,0,0,5.63833,4.34747,4.17019,0.000140972,0.000140972,0.000140972
19,26.7521,5.17833,3.62561,4.06982,0,0,0,0,5.63851,4.35609,4.17283,0.00014481,0.00014481,0.00014481
20,28.1911,3.78763,3.43397,4.32247,0,0,0,0,5.63851,4.35609,4.17283,0.000148153,0.000148153,0.000148153
21,29.5753,4.13711,3.38404,4.27222,0,0,0,0,5.63968,4.36483,4.17586,0.000151,0.000151,0.000151
22,30.8883,5.10871,3.2062,3.65804,0,0,0,0,5.63968,4.36483,4.17586,0.000153353,0.000153353,0.000153353
23,32.2589,4.40859,3.37506,3.97703,0,0,0,0,5.64109,4.37488,4.17948,0.00015521,0.00015521,0.00015521
24,33.647,5.28227,3.36127,4.30476,0,0,0,0,5.64109,4.37488,4.17948,0.000156573,0.000156573,0.000156573
25,34.9696,5.36417,3.33669,4.30165,0,0,0,0,5.64279,4.3864,4.18338,0.00015744,0.00015744,0.00015744
26,36.2859,3.4428,3.47514,4.11404,0,0,0,0,5.64279,4.3864,4.18338,0.000157812,0.000157812,0.000157812
27,37.6567,4.90974,3.40809,3.80743,0,0,0,0,5.64498,4.40018,4.18805,0.00015769,0.00015769,0.00015769
28,38.9625,5.20077,3.52219,3.58673,0,0,0,0,5.64498,4.40018,4.18805,0.000157072,0.000157072,0.000157072
29,40.323,4.45369,2.90217,4.09497,0,0,0,0,5.64759,4.41476,4.19318,0.00015596,0.00015596,0.00015596
30,41.6363,4.73319,3.4843,4.00796,0,0,0,0,5.64759,4.41476,4.19318,0.000154352,0.000154352,0.000154352
31,42.9212,4.49473,3.26442,4.09017,0,0,0,0,5.65034,4.42839,4.19849,0.00015225,0.00015225,0.00015225
32,44.2306,4.61721,2.85616,4.14575,0,0,0,0,5.65034,4.42839,4.19849,0.000149652,0.000149652,0.000149652
33,45.5452,4.30748,2.83767,3.88897,0,0,0,0,5.65378,4.44438,4.2051,0.00014656,0.00014656,0.00014656
34,46.8085,4.94681,2.99645,3.63447,0,0,0,0,5.65378,4.44438,4.2051,0.000142972,0.000142972,0.000142972
35,48.1642,5.17117,3.3626,3.71268,0,0,0,0,5.65727,4.45897,4.21165,0.00013889,0.00013889,0.00013889
36,49.5286,4.77026,2.59119,3.93978,0,0,0,0,5.65727,4.45897,4.21165,0.000134313,0.000134313,0.000134313
37,50.93,4.31139,2.70717,3.93667,0,0,0,0,5.66103,4.47361,4.21908,0.00012924,0.00012924,0.00012924
38,52.3358,4.69929,2.97786,3.61294,0,0,0,0,5.66103,4.47361,4.21908,0.000123672,0.000123672,0.000123672
39,53.6333,4.70703,2.50288,3.74665,0,0,0,0,5.66511,4.48923,4.22674,0.00011761,0.00011761,0.00011761
40,54.8384,4.70311,2.94571,4.09047,0,0,0,0,5.66511,4.48923,4.22674,0.000111052,0.000111052,0.000111052
41,56.1467,4.62056,2.61514,4.64341,0,0,0,0,5.66916,4.50422,4.23402,0.000104,0.000104,0.000104
42,57.4038,4.85613,2.87227,3.53312,0,0,0,0,5.66916,4.50422,4.23402,9.64525e-05,9.64525e-05,9.64525e-05
43,58.79,4.71767,2.72464,3.33683,0,0,0,0,5.67393,4.52376,4.24237,8.841e-05,8.841e-05,8.841e-05
44,60.0223,3.98319,2.43712,3.72089,0,0,0,0,5.67393,4.52376,4.24237,7.98725e-05,7.98725e-05,7.98725e-05
45,61.3585,4.37387,2.43738,3.53371,0,0,0,0,5.67841,4.54126,4.2504,7.084e-05,7.084e-05,7.084e-05
46,62.654,3.87608,2.44359,4.27006,0,0,0,0,5.67841,4.54126,4.2504,6.13125e-05,6.13125e-05,6.13125e-05
47,64.01,4.00313,2.48565,4.37269,0,0,0,0,5.68205,4.55422,4.25711,5.129e-05,5.129e-05,5.129e-05
48,65.3468,4.29634,2.62266,4.73253,0,0,0,0,5.68205,4.55422,4.25711,4.07725e-05,4.07725e-05,4.07725e-05
49,66.7282,4.18964,2.6517,4.29304,0,0,0,0,5.6849,4.56302,4.26255,2.976e-05,2.976e-05,2.976e-05
50,67.9947,4.01652,2.49547,3.7943,0,0,0,0,5.6849,4.56302,4.26255,1.82525e-05,1.82525e-05,1.82525e-05
